kb_kyoden_search_1,kb_kyoden_search_2,no_haisyutu,nm_hpannounce,nm_houjin1,nm_houjin2,nm_kyoten,cd_ken,nm_ken,ad_address1,ad_address2,ad_address3,nm_address,nm_address_search,no_tel,ad_latitude,ad_longitude,map_url
1,0,0100200148,,桜井ミシン電気商会,,桜井ミシン電気商会　,13,東京都,世田谷区,豪徳寺１−４５−３,,東京都世田谷区豪徳寺１−４５−３,東京都世田谷区豪徳寺１−４５−３,03-3429-3761,35.65397644042969,139.64671325683594,https://map.yahoo.co.jp/search?q=東京都世田谷区豪徳寺１−４５−３
1,0,0100210578,,（有）深澤電機商会,,（有）深澤電機商会　,13,東京都,文京区,千駄木３−４１−１１,,東京都文京区千駄木３−４１−１１,東京都文京区千駄木３−４１−１１,03-3821-0622,35.72724914550781,139.76470947265625,https://map.yahoo.co.jp/search?q=東京都文京区千駄木３−４１−１１
1,0,0100210895,,（有）森山電気商会,,（有）森山電気商会　,13,東京都,豊島区,南池袋２−１４−５,,東京都豊島区南池袋２−１４−５,東京都豊島区南池袋２−１４−５,03-3971-6320,35.72649002075195,139.71246337890625,https://map.yahoo.co.jp/search?q=東京都豊島区南池袋２−１４−５
1,0,0100210924,,（有）わくい電器,,（有）わくい電器　,13,東京都,板橋区,常盤台４−６−１７,,東京都板橋区常盤台４−６−１７,東京都板橋区常盤台４−６−１７,03-3935-2409,35.764244079589844,139.68222045898438,https://map.yahoo.co.jp/search?q=東京都板橋区常盤台４−６−１７
1,0,0100211007,,児玉電気店,,児玉電気店　,13,東京都,品川区,東大井５−１０−７,,東京都品川区東大井５−１０−７,東京都品川区東大井５−１０−７,03-3474-8933,35.606937408447266,139.73892211914062,https://map.yahoo.co.jp/search?q=東京都品川区東大井５−１０−７
1,0,0100211086,,古谷電気（株）,,古谷電気（株）　,13,東京都,目黒区,上目黒２−１２−１１,,東京都目黒区上目黒２−１２−１１,東京都目黒区上目黒２−１２−１１,03-3711-7511,35.6426887512207,139.69837951660156,https://map.yahoo.co.jp/search?q=東京都目黒区上目黒２−１２−１１
1,0,0100211346,,クサジマ電器（株）,,クサジマ電器（株）　,13,東京都,羽村市,緑ヶ丘１−１５−１０,クサジマビル１Ｆ,東京都羽村市緑ヶ丘１−１５−１０クサジマビル１Ｆ,東京都羽村市緑ヶ丘１−１５−１０,042-554-5121,35.762939453125,139.3145294189453,https://map.yahoo.co.jp/search?q=東京都羽村市緑ヶ丘１−１５−１０
1,0,1000000764,,（株）ソフマップ,新宿店　１階レジ（旧新宿２号店）,（株）ソフマップ　新宿店　１階レジ（旧新宿２号店）,13,東京都,新宿区,西新宿１−１８−５,甲新ビル,東京都新宿区西新宿１−１８−５甲新ビル,東京都新宿区西新宿１−１８−５,03-3253-1111,35.68859100341797,139.69842529296875,https://map.yahoo.co.jp/search?q=東京都新宿区西新宿１−１８−５
1,0,1000000856,,（株）ヤマダデンキ,ベスト電器　連雀店,（株）ヤマダデンキ　ベスト電器　連雀店,13,東京都,三鷹市,下連雀６−１７−３６,,東京都三鷹市下連雀６−１７−３６,東京都三鷹市下連雀６−１７−３６,0422-44-4142,35.6917610168457,139.56613159179688,https://map.yahoo.co.jp/search?q=東京都三鷹市下連雀６−１７−３６
1,0,1000001680,,（株）Ｊｏｓｈｉｎ,つるかわ店,（株）Ｊｏｓｈｉｎ　つるかわ店,13,東京都,町田市,金井８−１５−５,,東京都町田市金井８−１５−５,東京都町田市金井８−１５−５,042-734-4751,35.575496673583984,139.46810913085938,https://map.yahoo.co.jp/search?q=東京都町田市金井８−１５−５
1,0,1000003554,,（株）ヤマダデンキ,テックランド大田糀谷店,（株）ヤマダデンキ　テックランド大田糀谷店,13,東京都,大田区,萩中２−１２−５,,東京都大田区萩中２−１２−５,東京都大田区萩中２−１２−５,03-5735-0200,35.551300048828125,139.73301696777344,https://map.yahoo.co.jp/search?q=東京都大田区萩中２−１２−５
1,0,1000004169,,（株）ケーズホールディングス,ケーズデンキ府中本店,（株）ケーズホールディングス　ケーズデンキ府中本店,13,東京都,府中市,日鋼町１−４,,東京都府中市日鋼町１−４,東京都府中市日鋼町１−４,042-352-2030,35.678077697753906,139.46786499023438,https://map.yahoo.co.jp/search?q=東京都府中市日鋼町１−４
1,0,1000004205,,（株）ヤマダデンキ,ベスト電器　中野川島店,（株）ヤマダデンキ　ベスト電器　中野川島店,13,東京都,中野区,弥生町３−３１−１,,東京都中野区弥生町３−３１−１,東京都中野区弥生町３−３１−１,03-6300-4900,35.68805694580078,139.67396545410156,https://map.yahoo.co.jp/search?q=東京都中野区弥生町３−３１−１
1,0,1000004207,,（株）ヤマダデンキ,ベスト電器　テックランド小金井店,（株）ヤマダデンキ　ベスト電器　テックランド小金井店,13,東京都,小金井市,本町５−１１−２,ＭＥＧＡドン・キホーテ武蔵小金井駅前店５Ｆ・６Ｆ,東京都小金井市本町５−１１−２ＭＥＧＡドン・キホーテ武蔵小金井駅前店５Ｆ・６Ｆ,東京都小金井市本町５−１１−２,042-382-5111,35.701480865478516,139.50558471679688,https://map.yahoo.co.jp/search?q=東京都小金井市本町５−１１−２
1,0,1000004309,,（株）ケーズホールディングス,ケーズデンキ足立店,（株）ケーズホールディングス　ケーズデンキ足立店,13,東京都,足立区,小台１−２０−６,,東京都足立区小台１−２０−６,東京都足立区小台１−２０−６,03-5813-5252,35.75520706176758,139.77099609375,https://map.yahoo.co.jp/search?q=東京都足立区小台１−２０−６
1,0,1000004321,,（株）ケーズホールディングス,ケーズデンキ多摩ニュータウン店,（株）ケーズホールディングス　ケーズデンキ多摩ニュータウン店,13,東京都,八王子市,別所２−３９−５,,東京都八王子市別所２−３９−５,東京都八王子市別所２−３９−５,042-678-7933,35.613975524902344,139.39871215820312,https://map.yahoo.co.jp/search?q=東京都八王子市別所２−３９−５
1,0,1000004731,,（株）ヤマダデンキ,ベスト電器　今井店,（株）ヤマダデンキ　ベスト電器　今井店,13,東京都,江戸川区,江戸川３−５５−１２,,東京都江戸川区江戸川３−５５−１２,東京都江戸川区江戸川３−５５−１２,03-3670-2482,35.68259048461914,139.8903350830078,https://map.yahoo.co.jp/search?q=東京都江戸川区江戸川３−５５−１２
1,0,1000004920,,（株）ケーズホールディングス,ケーズデンキ稲城若葉台店,（株）ケーズホールディングス　ケーズデンキ稲城若葉台店,13,東京都,稲城市,若葉台２−１０−２,,東京都稲城市若葉台２−１０−２,東京都稲城市若葉台２−１０−２,042-350-5011,35.62165832519531,139.47335815429688,https://map.yahoo.co.jp/search?q=東京都稲城市若葉台２−１０−２
1,0,1000004998,,（株）ケーズホールディングス,ケーズデンキ立川店,（株）ケーズホールディングス　ケーズデンキ立川店,13,東京都,立川市,泉町８４１−７,,東京都立川市泉町８４１−７,東京都立川市泉町８４１−７,042-538-2311,35.71566390991211,139.42018127441406,https://map.yahoo.co.jp/search?q=東京都立川市泉町８４１−７
1,0,1000004999,,（株）ケーズホールディングス,ケーズデンキ八王子店,（株）ケーズホールディングス　ケーズデンキ八王子店,13,東京都,八王子市,北野町５９２−１,,東京都八王子市北野町５９２−１,東京都八王子市北野町５９２−１,042-631-8970,35.652767181396484,139.3511962890625,https://map.yahoo.co.jp/search?q=東京都八王子市北野町５９２−１
1,0,1000005133,,（株）ケーズホールディングス,ケーズデンキ昭島店,（株）ケーズホールディングス　ケーズデンキ昭島店,13,東京都,昭島市,つつじが丘２−８−２０,,東京都昭島市つつじが丘２−８−２０,東京都昭島市つつじが丘２−８−２０,042-549-0601,35.715267181396484,139.36700439453125,https://map.yahoo.co.jp/search?q=東京都昭島市つつじが丘２−８−２０
1,0,1000005139,,（株）ケーズホールディングス,ケーズデンキ青梅店,（株）ケーズホールディングス　ケーズデンキ青梅店,13,東京都,青梅市,今寺５−１３−１,,東京都青梅市今寺５−１３−１,東京都青梅市今寺５−１３−１,0428-30-7121,35.79352569580078,139.3033905029297,https://map.yahoo.co.jp/search?q=東京都青梅市今寺５−１３−１
