自治体ID,自治体名,row_no,行種別,施設名,所在地,備考,施設URL,自治体ホームページURL,セクション順
chiyoda,千代田区,1,回収拠点,千代田区役所5階環境政策課窓口,九段南1-2-1,月曜日～金曜日（閉庁日は、土曜日・日曜日・祝日、12月29日～翌年1月3日）午前8時30分～午後5時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,2,回収拠点,麹町出張所ストックヤード,麹町2-8,月曜日～金曜日（閉庁日は、土曜日・日曜日・祝日、12月29日～翌年1月3日）午前8時30分～午後5時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,3,回収拠点,富士見出張所ストックヤード,富士見1-6-7,月曜日～金曜日（閉庁日は、土曜日・日曜日・祝日、12月29日～翌年1月3日）午前8時30分～午後5時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,4,回収拠点,神田公園出張所ストックヤード,神田司町2-2,月曜日～金曜日（閉庁日は、土曜日・日曜日・祝日、12月29日～翌年1月3日）午前8時30分～午後5時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,5,回収拠点,和泉橋出張所ストックヤード,神田佐久間町1-11-7,月曜日～金曜日（閉庁日は、土曜日・日曜日・祝日、12月29日～翌年1月3日）午前8時30分～午後5時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,6,回収拠点,西神田コスモス館ストックヤード,西神田2-6-2西神田コスモス館地下1階,毎日（12月29日～翌年1月3日を除く）午前7時～午後10時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,7,回収拠点,千代田清掃事務所,外神田1-1-6,月曜日～土曜日（12月31日～翌年1月3日を除く）午前7時40分～午後5時（土曜日・祝日、12月29日・30日＝午後4時まで）,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,8,回収拠点,千代田清掃事務所飯田橋車庫,飯田橋3-13-2,月曜日～土曜日（12月29日～1月3日を除く）午前7時40分～午後4時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chiyoda,千代田区,9,回収拠点,リサイクルセンター鎌倉橋,内神田2-1-8スポーツセンター地下1階,毎月1日～25日（閉庁日は月曜日、26日～月末、1月1日～4日）午前10時～午後6時,,https://www.city.chiyoda.lg.jp/koho/kurashi/gomi/stockyards.html,1
chuo,中央区,1,回収拠点,明石小学校,明石町1番15号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,2,回収拠点,中央清掃事務所,京橋一丁目19番6号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,3,回収拠点,泰明小学校,銀座五丁目1番13号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,4,回収拠点,銀座中学校,銀座八丁目19番15号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,5,回収拠点,明正小学校,新川二丁目13番4号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,6,回収拠点,京橋築地小学校,築地二丁目13番1号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,7,回収拠点,中央小学校,湊一丁目4番1号,毎週土曜日の午前9時30分から午前11時30分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,8,回収拠点,有馬小学校,蛎殻町二丁目10番23号,毎週土曜日の午前9時00分から午前11時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,9,回収拠点,阪本小学校,兜町15番18号,毎週土曜日の午前9時00分から午前11時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,10,回収拠点,日本橋小学校,人形町一丁目1番17号,毎週土曜日の午前9時00分から午前11時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,11,回収拠点,日本橋中学校,東日本橋一丁目10番1号,毎週土曜日の午前9時00分から午前11時00分まで 令和7年7月5日から校舎建替工事終了まで産業会館（東日本橋二丁目22番4号）で実施,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,12,回収拠点,産業会館,東日本橋二丁目22番4号,毎週土曜日の午前9時00分から午前11時00分まで 令和7年7月5日から日本橋中学校校舎建替工事終了まで実施,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,13,回収拠点,久松小学校,久松町7番2号,毎週土曜日の午前9時00分から午前11時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,14,回収拠点,常盤小学校,本石町四丁目4番26号,毎週土曜日の午前9時00分から午前11時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,15,回収拠点,月島第二小学校,勝どき一丁目12番2号,毎週土曜日の午前10時00分から午前12時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,16,回収拠点,佃島小学校,佃二丁目3番1号,毎週土曜日の午前10時00分から午前12時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,17,回収拠点,月島第一小学校,月島四丁目15番1号,毎週土曜日の午前10時00分から午前12時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,18,回収拠点,豊海小学校,豊海町3番2号,毎週土曜日の午前10時00分から午前12時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
chuo,中央区,19,回収拠点,月島第三小学校,晴海一丁目4番1号,毎週土曜日の午前10時00分から午前12時00分まで,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/kyoten/kyoten.html,2
