prefecture,city,cityLabel,name,address,categories,hours,notes
tokyo,toshima,豊島区,池袋図書館,豊島区池袋3-29-10,battery,,
tokyo,toshima,豊島区,みらい館大明,豊島区池袋3-30-8,"battery,fluorescent,ink-cartridge",,
tokyo,toshima,豊島区,豊島清掃事務所,豊島区池袋本町1-7-3,"battery,cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,サミットストア巣鴨店,豊島区巣鴨1-15-2,battery,,
tokyo,toshima,豊島区,西友巣鴨店,豊島区巣鴨2-6-1,battery,,
tokyo,toshima,豊島区,巣鴨図書館,豊島区巣鴨3-8-2,battery,,
tokyo,toshima,豊島区,区役所東池袋分庁舎,豊島区東池袋1-39-2,battery,,
tokyo,toshima,豊島区,中央図書館,豊島区東池袋4-5-2,"battery,ink-cartridge",,
tokyo,toshima,豊島区,西友サンシャイン店,豊島区東池袋4-27-10,battery,,
tokyo,toshima,豊島区,区役所本庁舎,豊島区南池袋2-45-1,"battery,fluorescent,small-appliance,ink-cartridge",月〜金 8:30〜17:15・土 9:00〜17:00,
tokyo,toshima,豊島区,区民ひろば池袋,豊島区池袋4-21-10,"cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば豊成,豊島区上池袋1-28-7,"cooking-oil,fluorescent,small-appliance",,
tokyo,toshima,豊島区,区民ひろば上池袋,豊島区上池袋3-13-5,cooking-oil,,
tokyo,toshima,豊島区,区民ひろば駒込,豊島区駒込2-2-4,"cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば仰高,豊島区駒込4-12-3,"cooking-oil,fluorescent,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば清和第一,豊島区巣鴨3-15-20,"cooking-oil,fluorescent,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば朝日,豊島区西巣鴨4-10-12,cooking-oil,,
tokyo,toshima,豊島区,雑司が谷地域文化創造館,豊島区雑司が谷3-1-7,"cooking-oil,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば高南第一,豊島区高田2-11-2,"cooking-oil,small-appliance",,
tokyo,toshima,豊島区,区民ひろば高南第二,豊島区高田3-38-7,"cooking-oil,small-appliance",,
tokyo,toshima,豊島区,区民ひろば高松,豊島区高松2-25-9,"cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,西部区民事務所,豊島区千早2-39-16,"cooking-oil,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば長崎,豊島区長崎2-27-18,"cooking-oil,small-appliance",,
tokyo,toshima,豊島区,区民ひろば西巣鴨第一,豊島区西巣鴨2-35-3,"cooking-oil,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,シルバー人材センター,豊島区東池袋2-55-6,"cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば南池袋,豊島区南池袋3-5-12,"cooking-oil,small-appliance",,
tokyo,toshima,豊島区,東部区民事務所,豊島区南大塚2-36-2,"cooking-oil,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば富士見台,豊島区南長崎1-6-1,"cooking-oil,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろばさくら第一,豊島区南長崎6-20-15,"cooking-oil,small-appliance",,
tokyo,toshima,豊島区,区民ひろば目白,豊島区目白2-20-26,"cooking-oil,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,巣鴨信用金庫池袋支店,豊島区池袋2-48-1,cooking-oil,,B方式（ボックス）平日 8:55〜15:00
tokyo,toshima,豊島区,HIRAKU 01,豊島区上池袋2-2-15,cooking-oil,,B方式（ボックス）平日 8:55〜15:00
tokyo,toshima,豊島区,巣鴨信用金庫本店営業部,豊島区巣鴨2-10-2,cooking-oil,,B方式（ボックス）平日 8:55〜15:00
tokyo,toshima,豊島区,豊島リサイクルセンター,豊島区北大塚3-29-11,"fluorescent,small-appliance,ink-cartridge",土日月火 10:00〜17:00,
tokyo,toshima,豊島区,区民ひろば要,豊島区要町1-5-1,"fluorescent,small-appliance",,
tokyo,toshima,豊島区,区民ひろば千早,豊島区要町3-7-10,"fluorescent,ink-cartridge",,
tokyo,toshima,豊島区,駒込地域文化創造館,豊島区駒込2-2-2,"fluorescent,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,巣鴨地域文化創造館,豊島区巣鴨4-15-11,"fluorescent,small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,としま産業振興プラザIKE・Biz,豊島区西池袋2-37-4,"small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろば朋有,豊島区東池袋2-38-10,"small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,南大塚地域文化創造館,豊島区南大塚2-36-1,"small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,区民ひろばさくら第二,豊島区長崎6-37-11,"small-appliance,ink-cartridge",,
tokyo,toshima,豊島区,東部障害支援センター,豊島区南大塚2-36-2,ink-cartridge,,
tokyo,toshima,豊島区,千早地域文化創造館,豊島区千早2-35-12,ink-cartridge,,
tokyo,toshima,豊島区,千早図書館,豊島区千早2-44-2,ink-cartridge,,
tokyo,toshima,豊島区,北大塚区民事務所,豊島区北大塚1-15-10,ink-cartridge,,
